챕터명,사이트 링크,파일,연결 기출,시험 포인트 행,볼드 수,정답 선택지 완전 일치,정답 키워드 대조,키워드 대조율,부정형 문항,긍정형 문항,본문 정답 근거 대조,본문 대조율,누락 기출 ID,태그,검토 플래그
MTTF (평균동작시간),/industrial-safety/written/ergonomics/mttf/,ergonomics/mttf.md,1,6,6,0,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
휴식시간 산정 (Murrell),/industrial-safety/written/ergonomics/murrell-rest-formula/,ergonomics/murrell-rest-formula.md,2,6,6,1,1,0.500,0,2,1,0.500,,계산,계산 직접 검토
산소소비량,/industrial-safety/written/ergonomics/oxygen-consumption/,ergonomics/oxygen-consumption.md,2,6,6,2,2,1.000,0,2,2,1.000,,계산,계산 직접 검토
점광원 조도,/industrial-safety/written/ergonomics/point-source-illuminance/,ergonomics/point-source-illuminance.md,2,7,7,2,2,1.000,0,2,2,1.000,,계산,계산 직접 검토
정성적 평가 항목,/industrial-safety/written/ergonomics/qualitative-assessment-items/,ergonomics/qualitative-assessment-items.md,2,6,6,2,2,1.000,0,2,2,1.000,,개념,
정량적 평가 항목,/industrial-safety/written/ergonomics/quantitative-assessment-items/,ergonomics/quantitative-assessment-items.md,4,6,7,3,4,1.000,3,1,1,1.000,,개념,부정형 3
신뢰도 R(t),/industrial-safety/written/ergonomics/reliability-rt/,ergonomics/reliability-rt.md,1,6,7,0,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
RMR (에너지 대사율),/industrial-safety/written/ergonomics/rmr-energy-metabolism/,ergonomics/rmr-energy-metabolism.md,1,6,6,0,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
안전성 평가 기본원칙 6단계,/industrial-safety/written/ergonomics/safety-assessment-basic-principles/,ergonomics/safety-assessment-basic-principles.md,1,6,10,1,1,1.000,1,0,0,1.000,,절차,부정형 1
안전보건개선계획서 항목,/industrial-safety/written/ergonomics/safety-improvement-plan-items/,ergonomics/safety-improvement-plan-items.md,0,6,6,0,0,1.000,0,0,0,1.000,,개념 법령,법령 직접 검토
직렬·병렬 신뢰도,/industrial-safety/written/ergonomics/series-parallel-reliability/,ergonomics/series-parallel-reliability.md,3,6,6,2,2,0.667,0,3,2,0.667,,계산,계산 직접 검토
신호검출이론 (SDT),/industrial-safety/written/ergonomics/signal-detection-theory/,ergonomics/signal-detection-theory.md,1,5,6,0,1,1.000,0,1,1,1.000,,개념,
Swain 인간 실수 분류,/industrial-safety/written/ergonomics/swain-human-error/,ergonomics/swain-human-error.md,5,6,6,2,5,1.000,4,1,1,1.000,,개념,부정형 4
시스템 분석 기법 비교,/industrial-safety/written/ergonomics/system-analysis-techniques/,ergonomics/system-analysis-techniques.md,11,9,10,3,7,0.636,5,6,4,0.667,,개념,부정형 5
시스템 수명주기 5단계,/industrial-safety/written/ergonomics/system-lifecycle/,ergonomics/system-lifecycle.md,5,7,7,2,2,0.400,0,5,3,0.600,,절차,
